Q_heater,T_sec_out_target_C,x_bypass,y_sec,mdot_load_sec,T_load_sec_in_C,T_load_sec_out_C,Q_cold,W_net,W_heater,W_total,COP_net,COP_total,energy_error,status
500,-82.82051282051282,0.20497758575074423,0.9952261179665908,0.00394800044162943,30.491340291261622,-82.81957943113781,499.992207024276,24716.54469685867,500,25216.54469685867,0.020229049535707234,0.01982794284605385,0.01049743735568702,ok
500,-79.10256410256409,0.21435561678644385,0.9950805297765745,0.004068401874772919,30.491340291261622,-79.10147029477676,499.9914055700114,24367.997430873016,500,24867.997430873016,0.020518362536288998,0.02010581700275086,0.011895232137151017,ok
500,-75.38461538461539,0.22400550832217614,0.994924604659777,0.004197351946364466,30.491340291261622,-75.38334740987244,499.990483620519,24024.253715569797,500,24524.253715569797,0.02081190489994209,0.020387592194215817,0.014623631625878061,ok
500,-71.66666666666666,0.2339572461416071,0.9947572151532201,0.004335783068286951,30.491340291261622,-71.66529309125838,499.98979376511977,23685.405495348135,500,24185.405495348135,0.021109615111437247,0.02067320284794434,0.016477489494110577,ok
500,-67.94871794871796,0.24421218334362263,0.9945770634472564,0.004484768529118972,30.491340291261622,-67.94730040215197,499.98933393249865,23352.133706369295,500,23852.133706369295,0.02141086293095892,0.020962038033477282,0.018612248812454695,ok
500,-64.23076923076923,0.2547812470262205,0.9943826479543475,0.0046455501417546185,30.491340291261622,-64.22913294920562,499.98799092018845,23024.974116717138,500,23524.974116717138,0.02171502944523075,0.021253498024675434,0.02106840647804396,ok
500,-60.5128205128205,0.2656716424718846,0.994172221682902,0.0048195726682400625,30.491340291261622,-60.511266094758355,499.98804957203197,22704.576039362426,500,23204.576039362426,0.022021466012191272,0.021546959044797517,0.02389379622316005,ok
500,-56.794871794871796,0.2768907818313095,0.9939437399727283,0.005008527042553667,30.491340291261622,-56.79345752575168,499.98842512044877,22391.57701378428,500,22891.57701378428,0.02232930823999825,0.021841589367974874,0.027136225038413474,ok
500,-53.076923076923094,0.2884388838758148,0.9936947942789984,0.0052144051312683,30.491340291261622,-53.07677195496038,499.9950697895653,22086.754378104368,500,22586.754378104368,0.022637779242260864,0.022136649711578804,0.030806336691006533,ok
500,-49.358974358974365,0.3003296918366125,0.9934225274575051,0.005439569792643245,30.491340291261622,-49.358850767833474,499.995187907895,21790.60145542339,500,22290.60145542339,0.022945451456708316,0.022430762530467486,0.03449767757694168,ok
